pattern,groupe_code,classe,option,LM1,LM2,LM3
[5 - LM2 - E2]<5PAT> <Option+LM1+LM2(+LM3)> MB4-A-E+ [5 - LM2 - E2]<5PAT> <Option+LM1+LM2(+LM3)> ME4,5 - LM2 - E2,5PAT,,,,
[5 - LM2 - E2]<5PAT> <Option+LM1+LM2(+LM3)> MB4-A-E+ [5 - LM2 - E2]<5PAT> <Option+LM1+LM2(+LM3)> ME4,5 - LM2 - E2,5PAT,,,,
[5 - LM2 - E2]<5PAT> <Option+LM1+LM2(+LM3)> MB4-A-E+ [5 - LM2 - E2]<5PAT> <Option+LM1+LM2(+LM3)> ME4,5 - LM2 - E2,5PAT,,,,
[5 - LM2 - E2]<5PAT> <Option+LM1+LM2(+LM3)> MB4-A-E+ [5 - LM2 - E2]<5PAT> <Option+LM1+LM2(+LM3)> ME4,5 - LM2 - E2,5PAT,,,,
[5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> ME4,5 - LM2 - E3,5PAW,,,,
[5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> ME4,5 - LM2 - E3,5PAW,,,,
[5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> ME4,5 - LM2 - E3,5PAW,,,,
[5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> ME4,5 - LM2 - E3,5PAX,,,,
[5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> ME4,5 - LM2 - E3,5PAX,,,,
[5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [5 - LM2 - E3]<5PAW> <Option+LM1+LM2(+LM3)> ME4,5 - LM2 - E3,5PAW,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> SO4,5 - LM2 - E4,5PAY,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> SO4,5 - LM2 - E4,5PAY,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> SO4,5 - LM2 - E4,5PAY,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> SO4,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> SO4,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> SO4,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> SO4,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> SO4,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> SO4,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> SO4,5 - LM2 - E4,5PAZ,,,,
[5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> MH4-A-E+ [5 - LM2 - E4]<5PAY> <Option+LM1+LM2(+LM3)> SO4,5 - LM2 - E4,5PAZ,,,,
